Age Range,SN,Price
"(4, 8]",Chamassasya86,
"(4, 8]",Chamast86,
"(4, 8]",Chamastya76,
"(4, 8]",Chamilsala65,
"(4, 8]",Chamiman85,
"(4, 8]",Chamimla73,
"(4, 8]",Chamimla85,
"(4, 8]",Chamirra53,
"(4, 8]",Chamirrasya33,
"(4, 8]",Chamirraya83,
"(4, 8]",Chamistast30,
"(4, 8]",Chamjask73,
"(4, 8]",Chamjaskya75,
"(4, 8]",Chamossa77,
"(4, 8]",Chanadar44,
"(4, 8]",Chanastnya43,
"(4, 8]",Chanastsda67,
"(4, 8]",Chanastst38,
"(4, 8]",Chanastya70,
"(4, 8]",Chanilsasda38,
"(4, 8]",Chanilsast61,
"(4, 8]",Chanirra64,
"(4, 8]",Chanirra79,
"(4, 8]",Chanirrala39,
"(4, 8]",Chanirrasta87,
"(4, 8]",Chanista95,
"(4, 8]",Chanjask65,
"(4, 8]",Chanjaskan89,
"(4, 8]",Chanosia34,
"(4, 8]",Chanosia60,
"(4, 8]",Chanosian48,
"(4, 8]",Chanosiaya39,
"(4, 8]",Chanossanya44,
"(4, 8]",Chanossast57,4.32
"(4, 8]",Chanuchi25,
"(4, 8]",Cosadar58,
"(4, 8]",Dyally87,
"(4, 8]",Ealiril69,
"(4, 8]",Ealrion88,
"(4, 8]",Ennalmol65,
"(4, 8]",Ennoncil86,
"(4, 8]",Ennrian78,
"(4, 8]",Eodailis27,
"(4, 8]",Eodairu79,
"(4, 8]",Eodaisu60,
"(4, 8]",Eolan54,
"(4, 8]",Eoral49,
"(4, 8]",Eoralrap26,
"(4, 8]",Eosrirgue62,
"(4, 8]",Eosurdru76,
"(4, 8]",Eratiel90,
"(4, 8]",Ermol76,
"(4, 8]",Errian63,
"(4, 8]",Eryon48,
"(4, 8]",Ethralista69,
"(4, 8]",Ethrasyon38,
"(4, 8]",Ethriel85,
"(4, 8]",Ethron58,
"(4, 8]",Eudanu32,
"(4, 8]",Eudanu84,
"(4, 8]",Eulae84,
"(4, 8]",Eulaestira36,
"(4, 8]",Eulanurin88,
"(4, 8]",Eulasuir89,
"(4, 8]",Eulolis41,
"(4, 8]",Eurisuru25,
"(4, 8]",Eurithphos97,
"(4, 8]",Eusri26,
"(4, 8]",Eusri44,3.09
"(4, 8]",Eusri70,
"(4, 8]",Eustyria89,
"(4, 8]",Eusur90,
"(4, 8]",Eusurdeu49,
"(4, 8]",Euthe35,
"(4, 8]",Eyircil84,
"(4, 8]",Eyista89,
"(4, 8]",Eyrian71,
"(4, 8]",Farrian71,
"(4, 8]",Farusrian86,
"(4, 8]",Filrion59,
"(4, 8]",Filrion83,
"(4, 8]",Filurarn35,
"(4, 8]",Firan91,
"(4, 8]",Firatan58,
"(4, 8]",Firon67,
"(4, 8]",Fironon91,
"(4, 8]",Frichadar89,
"(4, 8]",Frichadaran88,
"(4, 8]",Frichast28,
"(4, 8]",Frichaststa61,
"(4, 8]",Frichaya88,
"(4, 8]",Frichilsa31,
"(4, 8]",Frichim77,
"(4, 8]",Frichirranya75,
"(4, 8]",Frichjask31,
"(4, 8]",Frichjaskan98,
"(4, 8]",Frichocesta66,
"(4, 8]",Frichosia58,
"(4, 8]",Frichosiala98,
"(4, 8]",Frichossala54,3.08
"(4, 8]",Frichynde86,
"(4, 8]",Hada39,
"(4, 8]",Haedairiadru51,
"(4, 8]",Haeladil46,
"(4, 8]",Haellysu29,
"(4, 8]",Haerith37,
"(4, 8]",Haerithp41,
"(4, 8]",Haestyphos66,
"(4, 8]",Hailaphos89,
"(4, 8]",Haillyrgue51,9.5
"(4, 8]",Haisrisuir60,
"(4, 8]",Haisurra41,
"(4, 8]",Hala31,
"(4, 8]",Halaecal66,
"(4, 8]",Hallysucal81,
"(4, 8]",Hari50,
"(4, 8]",Hariphos58,
"(4, 8]",Heollyra92,
"(4, 8]",Heollyriap59,
"(4, 8]",Heosurnuru52,
"(4, 8]",Heudai45,3.47
"(4, 8]",Heuli25,
"(4, 8]",Heunadil74,
"(4, 8]",Hiaral50,
"(4, 8]",Hiarideu73,
"(4, 8]",Hiasri33,
"(4, 8]",Hiasurria41,
"(4, 8]",Hilaerin92,
"(4, 8]",Hiral75,
"(4, 8]",Hirirap39,
"(4, 8]",Hisridru55,
"(4, 8]",Hyaduesu61,
"(4, 8]",Iadueria43,
"(4, 8]",Ialallo29,
"(4, 8]",Ialidru40,
"(4, 8]",Iana95,
"(4, 8]",Iarallo65,
"(4, 8]",Iaralrgue74,
"(4, 8]",Iaralsuir44,
"(4, 8]",Iarilis73,
"(4, 8]",Iasrira89,
"(4, 8]",Iasur80,
"(4, 8]",Iasurriacal29,
"(4, 8]",Iasursti71,
"(4, 8]",Iathem87,
"(4, 8]",Iathenudil29,
"(4, 8]",Idacal95,
"(4, 8]",Idai61,
"(4, 8]",Idaidil28,
"(4, 8]",Idairin51,
"(4, 8]",Idaisuir85,
"(4, 8]",Idastidru52,
"(4, 8]",Iduelis31,
"(4, 8]",Iduenu77,
"(4, 8]",Ilaesudil92,
"(4, 8]",Ilarin91,
"(4, 8]",Ilassa51,
"(4, 8]",Ilassast39,
"(4, 8]",Ilast79,
"(4, 8]",Ilastilis78,
"(4, 8]",Ili43,
"(4, 8]",Ililsan66,
"(4, 8]",Ililsasya43,
"(4, 8]",Ilimya66,
"(4, 8]",Ilirrasda54,
"(4, 8]",Ilista82,
"(4, 8]",Iljask75,
"(4, 8]",Ilmol66,6.17
"(4, 8]",Ilosia37,
"(4, 8]",Ilosian36,
"(4, 8]",Ilosianya35,
"(4, 8]",Ilunyon70,
"(4, 8]",Ina92,
"(4, 8]",Inasti31,
"(4, 8]",Inasuir29,
"(4, 8]",Indcil77,
"(4, 8]",Indirrian56,
"(4, 8]",Indonmol95,
"(4, 8]",Ingatcil75,
"(4, 8]",Inguron55,
"(4, 8]",Iral74,
"(4, 8]",Iri67,
"(4, 8]",Irilis75,
"(4, 8]",Irillo49,
"(4, 8]",Irith83,
"(4, 8]",Irithlis29,
"(4, 8]",Iskadarya95,
"(4, 8]",Iskichinya81,
"(4, 8]",Iskim66,
"(4, 8]",Iskim96,
"(4, 8]",Iskirra45,
"(4, 8]",Iskjaskst81,
"(4, 8]",Iskosia90,
"(4, 8]",Iskosian40,
"(4, 8]",Iskossasda43,
"(4, 8]",Isri34,
"(4, 8]",Isty55,
"(4, 8]",Isurria36,
"(4, 8]",Isursti83,
"(4, 8]",Isursuir31,
"(4, 8]",Ithergue48,
"(4, 8]",Itheria73,
"(4, 8]",Jeyciman68,
"(4, 8]",Jiskadarst60,
"(4, 8]",Jiskassa76,
"(4, 8]",Jiskimsda56,
"(4, 8]",Jiskimya77,
"(4, 8]",Jiskirran77,
"(4, 8]",Jiskjask60,
"(4, 8]",Jiskjask80,
"(4, 8]",Jiskjask85,
"(4, 8]",Jiskossa61,
"(4, 8]",Laedallo55,
"(4, 8]",Lalossa38,
"(4, 8]",Lamil79,
"(4, 8]",Lassadarsda57,
"(4, 8]",Lassassasda30,
"(4, 8]",Lassassast73,
"(4, 8]",Lassilsala30,
"(4, 8]",Lassimla92,
"(4, 8]",Lassirrasda85,
"(4, 8]",Lassjask63,
"(4, 8]",Lassjaskan73,
"(4, 8]",Layjask75,
"(4, 8]",Leetirraya83,
"(4, 8]",Leyirra83,
"(4, 8]",Liawista80,
"(4, 8]",Lirtassa52,
"(4, 8]",Lirtassan78,
"(4, 8]",Lirtastan49,
"(4, 8]",Lirtastsda29,
"(4, 8]",Lirtastsya71,
"(4, 8]",Lirtilsa71,
"(4, 8]",Lirtilsa72,
"(4, 8]",Lirtim36,
"(4, 8]",Lirtimst73,
"(4, 8]",Lirtirra37,
"(4, 8]",Lirtirra81,
"(4, 8]",Lirtistanya48,
"(4, 8]",Lirtosia63,
"(4, 8]",Lirtossa60,
"(4, 8]",Lirtossa84,
"(4, 8]",Lisadar44,
"(4, 8]",Lisasi93,
"(4, 8]",Lisassa64,
"(4, 8]",Lisassala98,
"(4, 8]",Lisassasda39,
"(4, 8]",Lisassasta50,
"(4, 8]",Lisast87,
"(4, 8]",Lisast98,
"(4, 8]",Lisico81,
"(4, 8]",Lisilsa62,
"(4, 8]",Lisim51,
"(4, 8]",Lisim78,
"(4, 8]",Lisiriya82,
"(4, 8]",Lisirra25,
"(4, 8]",Lisirra58,
"(4, 8]",Lisirra87,
"(4, 8]",Lisista27,
"(4, 8]",Lisista54,
"(4, 8]",Lisista63,
"(4, 8]",Lisjaskan36,
"(4, 8]",Lisjaskya84,
"(4, 8]",Lisopela58,
"(4, 8]",Lisosia66,
"(4, 8]",Lisosia93,
"(4, 8]",Lisossa25,
"(4, 8]",Lisossa46,
"(4, 8]",Lisossala30,
"(4, 8]",Lisossanya98,
"(4, 8]",Lisotesta51,
"(4, 8]",Lisovynya38,
"(4, 8]",Malarrian73,
"(4, 8]",Malil90,
"(4, 8]",Malon70,
"(4, 8]",Maluncil97,
"(4, 8]",Malunil62,
"(4, 8]",Maradaran90,
"(4, 8]",Maradarnya40,
"(4, 8]",Marassa62,
"(4, 8]",Marast30,
"(4, 8]",Maridisya31,
"(4, 8]",Marilsa69,
"(4, 8]",Marilsanya48,
"(4, 8]",Marilsasya33,
"(4, 8]",Marim28,
"(4, 8]",Marirrasta50,
"(4, 8]",Marjask87,
"(4, 8]",Marokian45,
"(4, 8]",Maropast28,
"(4, 8]",Marughi89,
"(4, 8]",Marundi65,
"(4, 8]",Marynde90,
"(4, 8]",Meosridil82,
"(4, 8]",Mindadaran26,
"(4, 8]",Mindesi74,
"(4, 8]",Mindetosya30,
"(4, 8]",Mindilsa34,
"(4, 8]",Mindilsa60,
"(4, 8]",Mindimnya67,
"(4, 8]",Mindirranya33,
"(4, 8]",Mindista32,
"(4, 8]",Mindjasksya61,
"(4, 8]",Mindossa76,
"(4, 8]",Minduli80,
"(4, 8]",Minduri31,
"(4, 8]",Nitherian58,
"(4, 8]",Palatyon26,
"(4, 8]",Palyon91,
"(4, 8]",Peorith44,
"(4, 8]",Phaedasurap84,
"(4, 8]",Phaedue89,
"(4, 8]",Phaelap26,
"(4, 8]",Phaena87,
"(4, 8]",Phaestycal84,
"(4, 8]",Pheodai94,
"(4, 8]",Pheodaisun84,
"(4, 8]",Pheosrinudeu70,
"(4, 8]",Pheosurllorin41,
"(4, 8]",Pheulidil31,
"(4, 8]",Pheusrical25,
"(4, 8]",Pheutherin27,
"(4, 8]",Phiallylis33,
"(4, 8]",Phiarithdeu40,
"(4, 8]",Philodil43,
"(4, 8]",Phiristi62,
"(4, 8]",Phistym51,
"(4, 8]",Phistyn52,
"(4, 8]",Phyali88,
"(4, 8]",Poshilsa82,
"(4, 8]",Qarirwen82,
"(4, 8]",Qilalista41,
"(4, 8]",Qilanrion65,
"(4, 8]",Qilatista90,
"(4, 8]",Qilunan34,
"(4, 8]",Quaecjask96,
"(4, 8]",Quanenrian83,
"(4, 8]",Quanrion96,
"(4, 8]",Quanunwen42,
"(4, 8]",Quaranmol58,
"(4, 8]",Quarrion42,
"(4, 8]",Quilassa66,4.23
"(4, 8]",Quinarap53,
"(4, 8]",Raesty92,
"(4, 8]",Raillydeu47,
"(4, 8]",Rairin89,
"(4, 8]",Rairith81,
"(4, 8]",Raisty38,
"(4, 8]",Rarallo90,
"(4, 8]",Rastynusuir31,
"(4, 8]",Raysistast71,
"(4, 8]",Reulae52,
"(4, 8]",Reunasu60,
"(4, 8]",Rianistast50,
"(4, 8]",Rilaera56,
"(4, 8]",Ririp86,
"(4, 8]",Risty84,
"(4, 8]",Ristydru66,
"(4, 8]",Rithe53,
"(4, 8]",Ryanara76,
"(4, 8]",Saedaiphos46,
"(4, 8]",Saelaephos52,
"(4, 8]",Saena74,
"(4, 8]",Saena89,
"(4, 8]",Saerallora71,
"(4, 8]",Saesrideu94,
"(4, 8]",Saida58,
"(4, 8]",Saisrilis27,
"(4, 8]",Saistyphos30,
"(4, 8]",Salilis27,
"(4, 8]",Sally64,
"(4, 8]",Sastydeu50,
"(4, 8]",Sausosia74,
"(4, 8]",Seolollo93,
"(4, 8]",Seosrim97,
"(4, 8]",Seudaillorap38,
"(4, 8]",Seuthep89,2.05
"(4, 8]",Shaidanu32,
"(4, 8]",Shidai42,
"(4, 8]",Siala43,
"(4, 8]",Siallylis44,
"(4, 8]",Siana77,
"(4, 8]",Siarithria38,
"(4, 8]",Sida61,
"(4, 8]",Sidap51,
"(4, 8]",Silaera56,
"(4, 8]",Siralsudeu54,
"(4, 8]",Sisur91,4.19
"(4, 8]",Smaistysu35,
"(4, 8]",Sondadar26,
"(4, 8]",Sondadarya58,
"(4, 8]",Sondassan80,
"(4, 8]",Sondassasya91,
"(4, 8]",Sondastsda82,
"(4, 8]",Sondilsaya62,
"(4, 8]",Sondim68,
"(4, 8]",Sondim73,
"(4, 8]",Sondimla25,
"(4, 8]",Sondistanya61,
"(4, 8]",Sondossa69,4.48
"(4, 8]",Strithenu87,
"(4, 8]",Styaduen40,
"(4, 8]",Sundadar27,
"(4, 8]",Sundadarla27,
"(4, 8]",Sundassa93,
"(4, 8]",Sundim98,
"(4, 8]",Sundirrala66,
"(4, 8]",Sundista37,
"(4, 8]",Sundjask71,
"(4, 8]",Syally44,
"(4, 8]",Syalollorap93,
"(4, 8]",Syathe73,
"(4, 8]",Syathecal44,
"(4, 8]",Taeduenu92,
"(4, 8]",Thourdirra92,
"(4, 8]",Thrientossa55,
"(4, 8]",Thryallym62,
"(4, 8]",Tyaedainu44,
"(4, 8]",Tyaelaelis94,
"(4, 8]",Tyaelistidru84,
"(4, 8]",Tyaelly53,
"(4, 8]",Tyaelo67,
"(4, 8]",Tyaelorap29,
"(4, 8]",Tyaenasti87,
"(4, 8]",Tyaerith73,
"(4, 8]",Tyalaesu89,
"(4, 8]",Tyananurgue44,
"(4, 8]",Tyarithn67,
"(4, 8]",Tyeoralru41,
"(4, 8]",Tyeosri53,
"(4, 8]",Tyeudariasuir90,
"(4, 8]",Tyeuduen32,
"(4, 8]",Tyeurith29,3.65
"(4, 8]",Tyialisti80,
"(4, 8]",Tyialisudeu65,
"(4, 8]",Tyida79,
"(4, 8]",Tyidaim51,
"(4, 8]",Tyidainu31,
"(4, 8]",Tyirinu79,
"(4, 8]",Tyisur83,
"(4, 8]",Umolrian85,
"(4, 8]",Undare39,
"(4, 8]",Undassa89,
"(4, 8]",Undilsan50,
"(4, 8]",Undimsya85,
"(4, 8]",Undirra73,
"(4, 8]",Undirrala66,
"(4, 8]",Undirrasta89,
"(4, 8]",Undista85,
"(4, 8]",Undjask33,
"(4, 8]",Undjaskla97,
"(4, 8]",Undosia27,
"(4, 8]",Undosian34,
"(4, 8]",Undotesta33,
"(4, 8]",Wailin72,
"(4, 8]",Yadacal26,
"(4, 8]",Yadaisuir65,
"(4, 8]",Yadam35,
"(4, 8]",Yadanu52,
"(4, 8]",Yadaphos40,
"(4, 8]",Yalae81,
"(4, 8]",Yalaeria91,
"(4, 8]",Yaliru88,
"(4, 8]",Yalo85,
"(4, 8]",Yalostiphos68,
"(4, 8]",Yana46,
"(4, 8]",Yarithllodeu72,
"(4, 8]",Yarithrgue83,
"(4, 8]",Yarithrin84,
"(4, 8]",Yarithsurgue62,
"(4, 8]",Yarolwen77,
"(4, 8]",Yasrisu92,
"(4, 8]",Yastyriaphos75,
"(4, 8]",Yasur35,
"(4, 8]",Yasur85,
"(4, 8]",Yathecal72,
"(4, 8]",Yathecal82,
"(4, 8]",Yathedeu43,
"(4, 8]",Yoishirrala98,
"(4, 8]",Zhisrisu83,
"(4, 8]",Zontibe81,
"(8, 12]",Adairialis76,
"(8, 12]",Adastirin33,
"(8, 12]",Aeda94,
"(8, 12]",Aela59,
"(8, 12]",Aelaria33,
"(8, 12]",Aelastirin39,
"(8, 12]",Aelidru27,
"(8, 12]",Aelin32,
"(8, 12]",Aelly27,
"(8, 12]",Aellynun67,
"(8, 12]",Aellyria80,
"(8, 12]",Aelollo59,
"(8, 12]",Aenarap34,
"(8, 12]",Aeral43,
"(8, 12]",Aeral68,
"(8, 12]",Aeral97,
"(8, 12]",Aeralria27,4.09
"(8, 12]",Aeralstical35,
"(8, 12]",Aeri84,
"(8, 12]",Aerillorin70,
"(8, 12]",Aerithllora36,
"(8, 12]",Aerithnucal56,
"(8, 12]",Aerithnuphos61,
"(8, 12]",Aerithriaphos45,
"(8, 12]",Aerithriaphos46,
"(8, 12]",Aesri53,
"(8, 12]",Aesty53,
"(8, 12]",Aestysu37,
"(8, 12]",Aesur96,
"(8, 12]",Aesurstilis64,
"(8, 12]",Aethedru70,
"(8, 12]",Aidai53,
"(8, 12]",Aidai61,
"(8, 12]",Aidai73,
"(8, 12]",Aidaillodeu39,
"(8, 12]",Aidain51,
"(8, 12]",Aidaira26,
"(8, 12]",Aiduecal76,
"(8, 12]",Aiduesu86,
"(8, 12]",Aillyriadru65,
"(8, 12]",Aillyrin83,2.89
"(8, 12]",Aina42,
"(8, 12]",Aina43,
"(8, 12]",Airi27,
"(8, 12]",Aisur51,
"(8, 12]",Aisurdru79,
"(8, 12]",Aisurria69,
"(8, 12]",Aithelis62,
"(8, 12]",Alaephos75,
"(8, 12]",Alaesu77,
"(8, 12]",Alaesu91,
"(8, 12]",Alarap40,
"(8, 12]",Ali84,
"(8, 12]",Alim85,
"(8, 12]",Alo38,
"(8, 12]",Anallorgue57,
"(8, 12]",Ardcil81,
"(8, 12]",Ardonmol96,
"(8, 12]",Arin32,
"(8, 12]",Arirgue63,
"(8, 12]",Assassa81,
"(8, 12]",Assassasta79,
"(8, 12]",Assastnya25,
"(8, 12]",Assehoan67,
"(8, 12]",Assesi91,
"(8, 12]",Assilsan72,
"(8, 12]",Assim27,
"(8, 12]",Assirra56,
"(8, 12]",Assistasda42,
"(8, 12]",Assistasda90,
"(8, 12]",Assjaskan56,
"(8, 12]",Assjaskan73,
"(8, 12]",Assosia88,
"(8, 12]",Assylla81,
"(8, 12]",Asty82,
"(8, 12]",Asur53,
"(8, 12]",Asur96,
"(8, 12]",Baelollodeu94,
"(8, 12]",Bartassaya73,
"(8, 12]",Caesrinusuir82,
"(8, 12]",Ceoral34,
"(8, 12]",Chadadarla74,
"(8, 12]",Chadilsasta32,
"(8, 12]",Chadirra90,
"(8, 12]",Chadista79,
"(8, 12]",Chadistaya75,
"(8, 12]",Chadjask77,
"(8, 12]",Chadjask85,
"(8, 12]",Chadolyla44,
"(8, 12]",Chadossa56,
"(8, 12]",Chadossa89,
"(8, 12]",Chamadar79,
"(8, 12]",Chamadarnya73,
"(8, 12]",Chamadarsda63,
"(8, 12]",Chamalo71,
"(8, 12]",Chamassasya86,
"(8, 12]",Chamast86,
"(8, 12]",Chamastya76,
"(8, 12]",Chamilsala65,
"(8, 12]",Chamiman85,
"(8, 12]",Chamimla73,
"(8, 12]",Chamimla85,
"(8, 12]",Chamirra53,
"(8, 12]",Chamirrasya33,
"(8, 12]",Chamirraya83,
"(8, 12]",Chamistast30,
"(8, 12]",Chamjask73,
"(8, 12]",Chamjaskya75,
"(8, 12]",Chamossa77,
"(8, 12]",Chanadar44,
"(8, 12]",Chanastnya43,
"(8, 12]",Chanastsda67,
"(8, 12]",Chanastst38,
"(8, 12]",Chanastya70,
"(8, 12]",Chanilsasda38,
"(8, 12]",Chanilsast61,
"(8, 12]",Chanirra64,
"(8, 12]",Chanirra79,
"(8, 12]",Chanirrala39,
"(8, 12]",Chanirrasta87,
"(8, 12]",Chanista95,
"(8, 12]",Chanjask65,
"(8, 12]",Chanjaskan89,
"(8, 12]",Chanosia34,
"(8, 12]",Chanosia60,
"(8, 12]",Chanosian48,
"(8, 12]",Chanosiaya39,
"(8, 12]",Chanossanya44,
"(8, 12]",Chanossast57,
"(8, 12]",Chanuchi25,
"(8, 12]",Cosadar58,
"(8, 12]",Dyally87,
"(8, 12]",Ealiril69,
"(8, 12]",Ealrion88,
"(8, 12]",Ennalmol65,
"(8, 12]",Ennoncil86,
"(8, 12]",Ennrian78,
"(8, 12]",Eodailis27,
"(8, 12]",Eodairu79,
"(8, 12]",Eodaisu60,
"(8, 12]",Eolan54,
"(8, 12]",Eoral49,
"(8, 12]",Eoralrap26,
"(8, 12]",Eosrirgue62,
"(8, 12]",Eosurdru76,1.79
"(8, 12]",Eratiel90,
"(8, 12]",Ermol76,
"(8, 12]",Errian63,
"(8, 12]",Eryon48,
"(8, 12]",Ethralista69,
"(8, 12]",Ethrasyon38,
"(8, 12]",Ethriel85,
"(8, 12]",Ethron58,
"(8, 12]",Eudanu32,
"(8, 12]",Eudanu84,
"(8, 12]",Eulae84,
"(8, 12]",Eulaestira36,
"(8, 12]",Eulanurin88,
"(8, 12]",Eulasuir89,
"(8, 12]",Eulolis41,
"(8, 12]",Eurisuru25,
"(8, 12]",Eurithphos97,4.55
"(8, 12]",Eusri26,
"(8, 12]",Eusri44,
"(8, 12]",Eusri70,
"(8, 12]",Eustyria89,
"(8, 12]",Eusur90,
"(8, 12]",Eusurdeu49,
"(8, 12]",Euthe35,
"(8, 12]",Eyircil84,
"(8, 12]",Eyista89,
"(8, 12]",Eyrian71,
"(8, 12]",Farrian71,
"(8, 12]",Farusrian86,
"(8, 12]",Filrion59,
"(8, 12]",Filrion83,
"(8, 12]",Filurarn35,
"(8, 12]",Firan91,
"(8, 12]",Firatan58,
"(8, 12]",Firon67,
"(8, 12]",Fironon91,
"(8, 12]",Frichadar89,
"(8, 12]",Frichadaran88,
"(8, 12]",Frichast28,
"(8, 12]",Frichaststa61,
"(8, 12]",Frichaya88,
"(8, 12]",Frichilsa31,
"(8, 12]",Frichim77,
"(8, 12]",Frichirranya75,
"(8, 12]",Frichjask31,
"(8, 12]",Frichjaskan98,
"(8, 12]",Frichocesta66,
"(8, 12]",Frichosia58,
"(8, 12]",Frichosiala98,
"(8, 12]",Frichossala54,
"(8, 12]",Frichynde86,
"(8, 12]",Hada39,
"(8, 12]",Haedairiadru51,
"(8, 12]",Haeladil46,
"(8, 12]",Haellysu29,
"(8, 12]",Haerith37,
"(8, 12]",Haerithp41,
"(8, 12]",Haestyphos66,
"(8, 12]",Hailaphos89,
"(8, 12]",Haillyrgue51,
"(8, 12]",Haisrisuir60,
"(8, 12]",Haisurra41,
"(8, 12]",Hala31,
"(8, 12]",Halaecal66,
"(8, 12]",Hallysucal81,
"(8, 12]",Hari50,
"(8, 12]",Hariphos58,
"(8, 12]",Heollyra92,
"(8, 12]",Heollyriap59,
"(8, 12]",Heosurnuru52,
"(8, 12]",Heudai45,
"(8, 12]",Heuli25,
"(8, 12]",Heunadil74,
"(8, 12]",Hiaral50,
"(8, 12]",Hiarideu73,
"(8, 12]",Hiasri33,
"(8, 12]",Hiasurria41,
"(8, 12]",Hilaerin92,
"(8, 12]",Hiral75,
"(8, 12]",Hirirap39,
"(8, 12]",Hisridru55,
"(8, 12]",Hyaduesu61,
"(8, 12]",Iadueria43,
"(8, 12]",Ialallo29,
"(8, 12]",Ialidru40,
"(8, 12]",Iana95,3.1
"(8, 12]",Iarallo65,
"(8, 12]",Iaralrgue74,
"(8, 12]",Iaralsuir44,
"(8, 12]",Iarilis73,5.49
"(8, 12]",Iasrira89,
"(8, 12]",Iasur80,
"(8, 12]",Iasurriacal29,
"(8, 12]",Iasursti71,
"(8, 12]",Iathem87,
"(8, 12]",Iathenudil29,
"(8, 12]",Idacal95,
"(8, 12]",Idai61,
"(8, 12]",Idaidil28,
"(8, 12]",Idairin51,
"(8, 12]",Idaisuir85,
"(8, 12]",Idastidru52,
"(8, 12]",Iduelis31,
"(8, 12]",Iduenu77,
"(8, 12]",Ilaesudil92,
"(8, 12]",Ilarin91,
"(8, 12]",Ilassa51,
"(8, 12]",Ilassast39,
"(8, 12]",Ilast79,
"(8, 12]",Ilastilis78,1.97
"(8, 12]",Ili43,
"(8, 12]",Ililsan66,2.85
"(8, 12]",Ililsasya43,
"(8, 12]",Ilimya66,
"(8, 12]",Ilirrasda54,
"(8, 12]",Ilista82,
"(8, 12]",Iljask75,
"(8, 12]",Ilmol66,
"(8, 12]",Ilosia37,
"(8, 12]",Ilosian36,
"(8, 12]",Ilosianya35,
"(8, 12]",Ilunyon70,
"(8, 12]",Ina92,
"(8, 12]",Inasti31,
"(8, 12]",Inasuir29,
"(8, 12]",Indcil77,
"(8, 12]",Indirrian56,
"(8, 12]",Indonmol95,
"(8, 12]",Ingatcil75,
"(8, 12]",Inguron55,
"(8, 12]",Iral74,
"(8, 12]",Iri67,
"(8, 12]",Irilis75,
"(8, 12]",Irillo49,
"(8, 12]",Irith83,
"(8, 12]",Irithlis29,
"(8, 12]",Iskadarya95,
"(8, 12]",Iskichinya81,
"(8, 12]",Iskim66,
"(8, 12]",Iskim96,
"(8, 12]",Iskirra45,
